country,year,temperature,humidity,precipitation,wind_speed,wetbulb_temperature,WUE_FixedApproachDirect(L/KWh),WUE_FixedColdWaterDirect(L/KWh),WUE_Indirect(L/KWh),Leakages (%),Total energy - TWh,Total renewables - TWh,Total fossil fuels - TWh,Coal consumption - TWh,Gas consumption - TWh,Oil consumption - TWh,Nuclear consumption - TWh,Solar consumption - TWh,Hydro consumption - TWh,Wind consumption - TWh,Biofuels consumption - TWh,Low carbon - TWh,Other renewables (including geothermal and biomass) - TWh,Other - TWh,climate_region,Pct renewables,Pct fossil fuels,Pct Coal consumption,Pct Gas consumption,Pct Oil consumption,Pct Nuclear consumption,Pct Solar consumption,Pct Hydro consumption,Pct Wind consumption,Pct Biofuels consumption,Pct Low carbon,Pct Other renewables,Pct Other
Egypt,2023,24.276820392505122,43.94393625192012,0.004019757264464926,15.030820496511776,59.82762663359762,1.6014689156200326,1.278620241252524,1.4704840630102785,0.3972,12759523.014811808,289116.92474556196,12470406.090066247,146334.77876997675,7241770.983472203,5082300.327824067,0.0,64420.84414697446,158841.00532714106,65855.07444338202,0.0004140322135124,289116.9239174976,0.0004140322135124,0.0,Desert,2.2658913221908255,97.73410867780917,1.1468671563984405,56.755812698214825,39.83142882319592,0.0,0.5048844229693535,1.2448820002342684,0.516124892497428,3.2448878616526137e-09,2.2658913157010505,0.0,3.2448878616526137e-09
Equatorial Guinea,2022,24.187969406041987,84.42055875576037,0.3615268049155146,7.273121543778801,71.73914667249976,1.6871998730164008,1.4480264800413827,2.701209238356165,0.3972,24928.28848517962,8195.60169375768,16732.68679142194,0.0,16732.68679142194,0.0,0.0,0.0,8195.60169375768,0.0,0.0,8195.60169375768,0.0,0.0,Desert,32.87671232876711,67.1232876712329,0.0,67.1232876712329,0.0,0.0,0.0,32.87671232876711,0.0,0.0,32.87671232876711,0.0,0.0
Equatorial Guinea,2023,25.138882871360913,82.57035730286738,0.37019947276625703,7.683498721061005,72.87944304388053,1.690948085883772,1.4762658191625084,2.701209238356165,0.39720000000000005,24928.28848517962,8195.60169375768,16732.68679142194,0.0,16732.68679142194,0.0,0.0,0.0,8195.60169375768,0.0,0.0,8195.60169375768,0.0,0.0,Desert,32.87671232876711,67.1232876712329,0.0,67.1232876712329,0.0,0.0,0.0,32.87671232876711,0.0,0.0,32.87671232876711,0.0,0.0
Eritrea,2022,22.866931227598567,56.885519713261644,0.08365654868578255,10.928331989247312,62.164249508504646,1.6186309718015237,1.3109225737099186,3.7879999999999994,0.3972,99.59932613941626,99.59932613941626,0.0,0.0,0.0,0.0,0.0,99.59932613941626,0.0,0.0,0.0,99.59932613941626,0.0,0.0,Steppe,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Eritrea,2023,24.053577508960572,52.60164170506912,0.07755552021996075,11.794936562606674,62.62661084966708,1.6224211644977942,1.316251487935061,3.788,0.3972,99.59932613941628,99.59932613941628,0.0,0.0,0.0,0.0,0.0,99.59932613941628,0.0,0.0,0.0,99.59932613941628,0.0,0.0,Steppe,100.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0
Ethiopia,2022,17.84212638888889,63.458141129032256,0.17460833781362006,8.31364914874552,55.79724537258094,1.5748528026480895,1.2148511541189144,5.128684946349393,0.192,183820.51632362377,183820.51632362377,0.0,0.0,0.0,0.0,0.0,478.0767654691982,176290.80726676676,7051.632290670677,3.5855757410189874e-07,184179.07389700864,3.5855757410189874e-07,0.0,Steppe,100.0,0.0,0.0,0.0,0.0,0.0,0.2600780234060076,95.90377113096525,3.8361508452386137,1.9505851755450573e-10,100.19505851716443,0.0,1.9505851755450573e-10
Ethiopia,2023,19.419808911770353,59.2178361015105,0.263289782546083,9.109839909754225,57.10196271089478,1.5872122018966692,1.2254020515809005,5.128684946349393,0.192,183820.51632362377,183820.51632362377,0.0,0.0,0.0,0.0,0.0,478.0767654691982,176290.80726676676,7051.632290670677,3.585575741018987e-07,184179.07389700864,3.585575741018987e-07,0.0,Steppe,100.0,0.0,0.0,0.0,0.0,0.0,0.2600780234060076,95.90377113096525,3.8361508452386137,1.9505851755450568e-10,100.19505851716443,0.0,1.9505851755450568e-10
Gabon,2022,24.022076612903223,83.83241353046594,0.299333288530466,6.083603494623656,71.2302268770699,1.6852781430962747,1.4360941688014046,3.23542432816389,0.3972,25457.587761473842,11832.399945601695,13625.187815872145,0.0,13625.187815872145,0.0,0.0,0.0,11832.399945362657,0.0,1.1951919136729956e-07,11951.919136729955,1.1951919136729956e-07,0.0,Rainforest,46.47887323993917,53.52112676006082,0.0,53.52112676006082,0.0,0.0,0.0,46.47887323900021,0.0,4.694835680707092e-10,46.94835680707091,0.0,4.694835680707092e-10
Gabon,2023,24.85520635720686,80.54716753872248,0.2558114979358679,6.21032796498976,71.76393471532307,1.6868425385325032,1.449823485307121,3.23542432816389,0.3972,25457.587761473842,11832.399945601694,13625.187815872143,0.0,13625.187815872143,0.0,0.0,0.0,11832.399945362657,0.0,1.1951919136729956e-07,11951.919136729955,1.1951919136729956e-07,0.0,Rainforest,46.47887323993916,53.52112676006081,0.0,53.52112676006081,0.0,0.0,0.0,46.47887323900021,0.0,4.694835680707092e-10,46.94835680707091,0.0,4.694835680707092e-10
Ghana,2022,25.6476078469022,76.08703725038403,0.16877391193036353,9.293297235023042,71.77040784063712,1.6851958836614394,1.454480875155882,2.771612568618332,0.3972,373241.36047056416,130275.91859103949,242965.44187952467,0.0,242965.44187952467,0.0,0.0,2219.642125392706,128056.27646496378,0.0,3.4148340390657e-07,130617.40199426311,3.4148340390657e-07,0.0,Desert,34.903934126377116,65.09606587362288,0.0,65.09606587362288,0.0,0.0,0.5946935041160207,34.30924062207811,0.0,9.14913083255416e-11,34.99542543451969,0.0,9.14913083255416e-11
